Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,2.045792372,-2.400365829,P22528;P35321,P22528;P35321,SPR1A_HUMAN;SPR1B_HUMAN,SPRR1A;SPRR1B
+,1.854282777,-2.408280691,Q5D862,Q5D862,FILA2_HUMAN,FLG2
+,2.998224248,-2.409354846,P68431;Q16695;Q71DI3,P68431;Q16695;Q5TEC6;Q71DI3,H31_HUMAN;H31T_HUMAN;H32_HUMAN,H3-4;H3C1;H3C15
+,3.781784012,-2.410567602,Q92522,Q92522,H1X_HUMAN,H1-10
+,2.163295623,-2.415377299,P05109,P05109,S10A8_HUMAN,S100A8
+,1.050204678,-2.447939873,Q149N8;Q149N8-4,Q149N8;Q149N8-4,SHPRH_HUMAN,SHPRH
+,1.802324343,-2.462983767,P68871,P68871,HBB_HUMAN,HBB
+,2.461890963,-2.493888219,Q15517,Q15517,CDSN_HUMAN,CDSN
+,2.405492613,-2.50372378,P05089;P05089-2,P05089;P05089-2,ARGI1_HUMAN,ARG1
+,1.175884199,-2.504039764,P14543;P14543-2,P14543;P14543-2,NID1_HUMAN,NID1
+,1.722861134,-2.57045428,P13647,P13647;Q5XQN5;Q922U2,K2C5_HUMAN,KRT5
+,1.94403606,-2.597145081,Q6KB66;Q6KB66-2,Q6KB66;Q6KB66-1;Q6KB66-2,K2C80_HUMAN,KRT80
+,2.167859903,-2.602587382,P13645,P13645,K1C10_HUMAN,KRT10
+,2.567709185,-2.606146495,Q8N1N4;Q8N1N4-2,Q7RTT2;Q8N1N4;Q8N1N4-2,K2C78_HUMAN,KRT78
+,2.815735659,-2.625190417,Q9UIA0,Q9UIA0,CYH4_HUMAN,CYTH4
+,3.41273026,-2.62624232,O60814;P57053;P58876;P62807;Q5QNW6;Q5QNW6-2;Q93079;Q99877;Q99879;Q99880,O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880,H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN,H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9
+,1.034652908,-2.629556974,Q04695,P19001;Q04695,K1C17_HUMAN,KRT17
+,3.76432683,-2.632118543,Q69YN4,Q69YN4;Q69YN4-2;Q69YN4-3;Q69YN4-4,VIR_HUMAN,VIRMA
+,2.520911418,-2.650291443,P04264,P04259;P04264,K2C1_HUMAN,KRT1
