Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
ADSS,7.785213465,NA,0.4247883,2.664012934,4.757926563
AEBP2,3.214124501,NA,NA,1.460894025,3.290347605
AEN,9.008115257,0.891628143,1.404474768,10.1076239,3.391273779
AES,NA,61.90212466,246.8034223,NA,7.553065425
AFAP1L1,15.47359216,1.809770078,2.112750834,3.103888526,8.58834871
AFAP1L2,36.32084722,1.62843665,1.409389062,3.99347119,5.797974436
AFAP1,3.843619785,NA,0.136342967,2.978673255,3.091855366
AFDN,10.8243709,0.317262604,0.576722891,3.648254946,14.52222955
AFF1,9.380013965,NA,NA,2.766524767,2.227686629
AFF3,5.430570076,NA,0.711797299,0.884753234,3.046149779
AFF4,8.997168585,NA,NA,3.210098977,4.638908308
AFG3L2,5.72046102,0.658014616,0.734189947,2.222253655,3.162781127
AFMID,10.39455756,1.2511621,2.857307107,7.456985829,9.454450079
AFTPH,16.17424622,NA,NA,22.43320405,5.216149432
AGAP11,NA,0.485246807,NA,0.816536263,1.608208373
AGAP1,7.136785631,0.56542212,0.800061775,4.066613447,2.719945273
AGAP2,12.82853814,0.486533922,0.872331523,2.05913094,5.47736234
AGAP3,9.140434134,2.265306091,2.408875793,4.206943542,3.071845537
AGAP4,NA,NA,NA,2.088305506,NA
AGAP5,16.18642958,NA,NA,2.844267914,2.274993642
AGAP6,6.388902865,0.608263301,0.546820695,4.960456499,2.171320183
AGAP9,3.34026592,NA,NA,1.115073706,2.712764908
AGA,6.477493676,4.166799412,2.901203308,28.09536906,4.737566392
AGBL3,34.87309271,1.332844329,1.267250144,7.929146009,2.27296706
AGBL5,40.28918972,4.682880216,7.374017359,11.2487678,4.416507685
AGFG1,8.603195314,NA,0.39306689,3.741616908,4.665378635
