	HCC38-2	HCC1806-1	MDA-MD-453-2	MDA-MB-231-1	MCF7-2	ZR-75-2	MCF7-1	ZR-75-1	MDA-MB-231-2	MDA-MD-453-1	HCC38-1	HCC1806-2
RHNO1	0.016315652626105043	0.023055881203595155	0.038043936	0.034934173929167436	0.023220099514712204	0.016131494580428476	0.014094627459650674	0.014228650497350077	0.037374161073825504	0.040372168	0.019234162696311983	0.022783979
TULP3	0.019935691318327974	0.029389215435727065	0.068885269	0.045539654941821585	0.046266348	0.020420504232951903	0.019696566409369176	0.029764582396161345	0.04440649	0.053379625	0.018349949429273225	0.025860876780528282
TEAD4	0.007415072	0.005102041	0.016153028692879916	0.022552255225522552	0.021247892074198988	0.013714650223261748	0.018161601	0.010736454	0.026297085998578537	0.026593305823016965	0.016267942583732056	0.014770241
RP11-253E3.3	0.024418270611893136	0.052547770700636945	0.054009217	0.046860572	0.047494096	0.044948411482276025	0.017636022514071294	0.032741398446170925	0.059605617	0.035824669851081764	0.037995778	0.046522132
RP11-543P15.1	0.004890412	0.009106431	0.006365242	0.006981223	0.005467429	0.003965747	0.004276655	0.004087632	0.006215376	0.00528523	0.005686434	0.007994078
EFCAB4B	1			0.017696845344960247	0.011091234	0.001197605	0.003831418	0.000928936	0.010009267840593142		1	
TIGAR	0.018123594740069495	0.018911276	0.017686593562079942	0.030303030303030304	0.020988194140795804	0.01132396	0.016576313594662218	0.018527833668678738	0.039589994357720516	0.018475073	0.012992752342230865	0.025778117
C12orf4	0.004330393	0.014005602240896359	0.024974515800203875	0.025950513	0.000923361	0.008568207	0.003070624	0.001798359	0.016309639727361245	0.019435165502581234	0.005	0.010646108663729809
RAD51AP1	0.013334027813948643	0.018193169	0.019384458425437852	0.028822416722772595	0.022756364670743847	0.010234922379447727	0.016488845780795344	0.008218155	0.028495077	0.013842198932173226	0.013143483023001095	0.016775715155203895
DYRK4	0.005873558	0.011121408711770158	0.009215377	0.018163471241170535	0.004419446	0.014012236037102822	0.008169149	0.006928043	0.018611670020120725	0.00578762	0.004641005	0.009878761
NDUFA9	0.005118766	0.00593047	0.008941432	0.010018408382894365	0.00887154	0.0041294	0.003381333	0.004333188	0.007215747	0.008685389	0.003945752	0.005972526
CD9	0.006302096	0.009662684	0.014603406403276243	0.011508021390374332	0.010718979596233814	0.023452953	0.010965205133912012	0.007038097	0.007022213	0.016945344464678477	0.007966488	0.011431233
TNFRSF1A	0.011168562564632886	0.024242424242424242	0.04586336	0.043997610989448536	0.038694611	0.020837161961577064	0.026059834	0.017534172983943174	0.043068756	0.041216992	0.012043987	0.021558341862845446
