	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
AC003989.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003991.3	1	7	0	0	4	1	2	4	1	1	0	0	1	0
AC004000.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004004.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	3	0	0	2	1	0	0	1	0	1	0	3	0	0
AC004014.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004016.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004017.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.13	0	0	3	5	0	0	0	2	1	3	1	0	2	0
AC004019.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004051.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004052.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004057.1	16	55	45	41	46	10	8	45	24	19	7	40	15	30
